content_id,legacy_id,content_type,content_subtype,name,description,icon,enabled,source_sheet,source_row,shop_candidate,review_status,notes
#中文名:内容ID,旧版ID,内容类型,内容子类型,名称,描述,图标,是否启用,来源工作表,来源行,商店候选,审核状态,备注
#types:string,string,enum,enum,string,string,string,boolean,string,number,boolean,enum,string
weapon_growth_sword_01,1001,weapon,main_weapon,成长之剑Lv1,英雄每次攻击增加1点攻击力  攻击200次使该武器进化    成长之剑Lvmax＋吸血面罩 自动合成幻影之剑,,1,武器合成/Sheet1,2,1,ok,
weapon_growth_sword_02,1002,weapon,main_weapon,成长之剑Lv2,英雄每次攻击增加2点攻击力  攻击200次使该武器进化,,1,武器合成/Sheet1,3,0,ok,
weapon_growth_sword_03,1003,weapon,main_weapon,成长之剑Lv3,英雄每次攻击增加3点攻击力  攻击200次使该武器进化,,1,武器合成/Sheet1,4,1,needs_confirmation,
weapon_growth_sword_04,1004,weapon,main_weapon,成长之剑Lv4,英雄每次攻击增加4点攻击力  攻击200次使该武器进化,,1,武器合成/Sheet1,5,1,needs_confirmation,
weapon_growth_sword_max,1005,weapon,main_weapon,成长之剑Lvmax,英雄每次攻击增加5点攻击力  ＋吸血面罩 自动合成霜之剑刃,,1,武器合成/Sheet1,6,1,needs_confirmation,
item_death_mask,1011,item,enhancement_item,死亡面罩,能使英雄的攻击将50%对敌人造成的伤害转换成自己的生命值,,1,武器合成/Sheet1,7,1,ok,
equipment_attack_gloves_01,2001,equipment,accessory,加速手套Lv1,"增加英雄20%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,1,武器合成/Sheet1,8,1,ok,
equipment_attack_gloves_02,2002,equipment,accessory,加速手套Lv2,"增加英雄40%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,1,武器合成/Sheet1,9,1,ok,
equipment_attack_gloves_03,2003,equipment,accessory,加速手套Lv3,"增加英雄60%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,1,武器合成/Sheet1,10,1,ok,
equipment_attack_gloves_04,2004,equipment,accessory,加速手套Lv4,"增加英雄80%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,1,武器合成/Sheet1,11,1,ok,
equipment_attack_gloves_max,2005,equipment,accessory,加速手套Lvmax,"增加英雄100%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,1,武器合成/Sheet1,12,1,needs_confirmation,
equipment_burning_blade_01,2011,equipment,accessory,灼热之刃Lv1,能增加1000攻击力，可重复购买，最高5级,,1,武器合成/Sheet1,13,1,ok,
equipment_burning_blade_02,2012,equipment,accessory,灼热之刃Lv2,能增加2000攻击力,,1,武器合成/Sheet1,14,1,ok,
equipment_burning_blade_03,2013,equipment,accessory,灼热之刃Lv3,能增加4000攻击力,,1,武器合成/Sheet1,15,1,ok,
equipment_burning_blade_04,2014,equipment,accessory,灼热之刃Lv4,能增加6000攻击力,,1,武器合成/Sheet1,16,1,ok,
equipment_burning_blade_max,2015,equipment,accessory,灼热之刃Lvmax,能增加8000攻击力,,1,武器合成/Sheet1,17,0,ok,
equipment_iron_armor_01,2021,equipment,armor,铁甲Lv1,增加英雄10点护甲和5000点生命值，重复购买升级，最高5级。,,1,武器合成/Sheet1,18,1,ok,
equipment_iron_armor_02,2022,equipment,armor,铁甲Lv2,增加英雄30点护甲和10000点生命值,,1,武器合成/Sheet1,19,1,ok,
equipment_iron_armor_03,2023,equipment,armor,铁甲Lv3,增加英雄50点护甲和20000点生命值,,1,武器合成/Sheet1,20,1,ok,
equipment_iron_armor_04,2024,equipment,armor,铁甲Lv4,增加英雄70点护甲和30000点生命值,,1,武器合成/Sheet1,21,1,ok,
equipment_iron_armor_max,2025,equipment,armor,铁甲Lvmax,增加英雄100点护甲和50000点生命值,,1,武器合成/Sheet1,22,1,needs_confirmation,
equipment_infernal_armor_01,3011,equipment,armor,狱火熔铠Lv1,增加属性  - 2W攻击力  - 150%攻速  - 10W生命值  - 150护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv1升级,,1,武器合成/Sheet1,23,0,ok,
equipment_infernal_armor_02,3012,equipment,armor,狱火熔铠Lv2,增加属性  - 3W攻击力  - 200%攻速  - 20W生命值  - 200护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv2升级,,1,武器合成/Sheet1,24,0,ok,
equipment_infernal_armor_03,3013,equipment,armor,狱火熔铠Lv3,增加属性  - 5W攻击力  - 250%攻速  - 30W生命值  - 250护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv3升级,,1,武器合成/Sheet1,25,0,ok,
equipment_infernal_armor_04,3014,equipment,armor,狱火熔铠Lv4,增加属性  - 7W攻击力  - 300%攻速  - 50W生命值  - 300护甲 对周围200码敌人每秒造成全属性*1的伤害  可用熔火核心Lv4升级,,1,武器合成/Sheet1,26,0,ok,
equipment_infernal_armor_max,3015,equipment,armor,狱火熔铠Lvmax,增加属性  - 10W攻击力  - 400%攻速  - 80W生命值  - 400护甲 对周围200码敌人每秒造成全属性*1的伤害  极寒之刃max＋狱火熔铠max＋冰魂焰魄 ＝  史诗：冰火裁决,,1,武器合成/Sheet1,27,0,ok,
material_molten_core_01,3021,material,synthesis_material,熔火核心Lv1,熔火核心Lv1*3 合成熔火核心Lv2,,1,武器合成/Sheet1,28,0,ok,
material_molten_core_02,3022,material,synthesis_material,熔火核心Lv2,熔火核心Lv2*3 合成熔火核心Lv3,,1,武器合成/Sheet1,29,0,ok,
material_molten_core_03,3023,material,synthesis_material,熔火核心Lv3,可用熔火核心Lv3升级装备 狱火熔铠Lv1,,1,武器合成/Sheet1,30,0,ok,
material_molten_core_04,3024,material,synthesis_material,熔火核心Lv4,可用熔火核心Lv3升级装备 狱火熔铠Lv4,,1,武器合成/Sheet1,31,0,ok,
item_molten_upgrade_gem_01_03,3111,material,synthesis_material,挑战熔火核心Lv1-3升级宝石,可以升级狱火熔铠到最高Lv4级。,,1,武器合成/Sheet1,32,0,ok,
item_molten_upgrade_gem_04,3112,material,synthesis_material,挑战熔火核心Lv4升级宝石,可以升级狱火熔铠到最高Lvmax级。,,1,武器合成/Sheet1,33,0,ok,
material_synthesis_gem,2041,material,synthesis_material,合成宝石,加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1,,1,武器合成/Sheet1,34,0,ok,
challenge_synthesis_gem,2141,material,synthesis_material,挑战合成宝石,击败BOSS后掉落合成宝石,,1,武器合成/Sheet1,35,0,ok,
item_forging_hammer,1111,item,enhancement_item,锻造之锤(W ),英雄每次攻击 成长之剑额外+1次数 可叠加,,1,武器合成/Sheet1,36,0,ok,
shop_proxy_iron_armor_01,2121,shop_proxy,legacy_purchase_proxy,铁甲LV1购买,增加英雄10点护甲和5000点生命值，重复购买升级，最高5级。,,0,武器合成/Sheet1,37,0,needs_confirmation,原表购买代理行，建议停用并指向真实内容ID。
shop_proxy_attack_gloves_01,2101,shop_proxy,legacy_purchase_proxy,加速手套Lv1购买,"增加英雄20%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,0,武器合成/Sheet1,38,0,needs_confirmation,原表购买代理行，建议停用并指向真实内容ID。
shop_proxy_burning_blade_01,2111,shop_proxy,legacy_purchase_proxy,灼热之刃LV1购买,能增加1000攻击力，可重复购买，最高5级,,0,武器合成/Sheet1,39,0,needs_confirmation,原表购买代理行，建议停用并指向真实内容ID。
