component_key,asset_id,component_id,model_path,entity_class,parent_component_id,attach_mode,attachment_point,default_sequence,model_scale,model_skin,material_group,sort_order,enabled,notes
#中文名:组件记录键,资源ID,组件ID,模型路径,实体类型,父组件ID,挂载方式,挂点,默认动作,模型缩放,模型皮肤,材质组,排序,是否启用,备注
#types:string,string,string,string,string,string,enum,string,string,number,number,string,number,boolean,string
challenge_monster_beastmaster_legacy:shoulder,challenge_monster_beastmaster_legacy,shoulder,models/items/beastmaster/ti9_cache_beast_master_dinosaurs_telep_shoulder/ti9_cache_beast_master_dinosaurs_telep_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Legacy of a Lost Age Armor（物品13370）。
challenge_monster_beastmaster_legacy:head,challenge_monster_beastmaster_legacy,head,models/items/beastmaster/ti9_cache_beast_master_dinosaurs_telepathy_head/ti9_cache_beast_master_dinosaurs_telepathy_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Legacy of a Lost Age Helm（物品13373）。
challenge_monster_beastmaster_legacy:belt,challenge_monster_beastmaster_legacy,belt,models/items/beastmaster/ti9_cache_beast_master_dinosaurs_telepathy_belt/ti9_cache_beast_master_dinosaurs_telepathy_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Legacy of a Lost Age Belt（物品13374）。
challenge_monster_beastmaster_legacy:arms,challenge_monster_beastmaster_legacy,arms,models/items/beastmaster/ti9_cache_beast_master_dinosaurs_telepathy_arms/ti9_cache_beast_master_dinosaurs_telepathy_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,Legacy of a Lost Age Bracers（物品13375）。
challenge_monster_beastmaster_legacy:weapon,challenge_monster_beastmaster_legacy,weapon,models/items/beastmaster/ti9_cache_beast_master_dinosaurs_telepathy_weapon/ti9_cache_beast_master_dinosaurs_telepathy_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,Legacy of a Lost Age Axe（物品13376）。
challenge_monster_ember_searing_path:arms,challenge_monster_ember_searing_path,arms,models/items/ember_spirit/kungfu_master_arms/kungfu_master_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,Master of the Searing Path Arms（物品13290）。
challenge_monster_ember_searing_path:head,challenge_monster_ember_searing_path,head,models/items/ember_spirit/kungfu_master_head/kungfu_master_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,Master of the Searing Path Head（物品13299）。
challenge_monster_ember_searing_path:weapon,challenge_monster_ember_searing_path,weapon,models/items/ember_spirit/kungfu_master_weapon/kungfu_master_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,Master of the Searing Path Weapon（物品13300）。
