challenge_wave_id,difficulty_id,challenge_id,display_name,wave_number,health,attack,armor,attack_speed,is_boss,enabled,notes
#中文名:挑战波次ID,难度ID,挑战ID,显示名称,独立挑战次数,生命值,攻击力,War3护甲,每秒攻击次数,是否Boss,是否启用,备注
#types:string,string,string,string,number,number,number,number,number,boolean,boolean,string
n1_challenge_monster_01_wave_01,N1,challenge_monster_01,山岭巨人,1,5500,100,2,1,1,1,N1临时数据，复制N1独立挑战第1次数值。
n1_challenge_monster_02_wave_01,N1,challenge_monster_02,树人,1,11350,209,2,1,1,1,N1临时数据，复制N1独立挑战第1次数值。
n1_challenge_monster_03_wave_01,N1,challenge_monster_03,红龙,1,13650,250,7,1,1,1,N1临时数据，复制N1独立挑战第1次数值。
n1_challenge_monster_04_wave_01,N1,challenge_monster_04,剑圣,1,22600,507,3,1,1,1,N1临时数据，复制N1独立挑战第1次数值。
n1_challenge_monster_05_wave_01,N1,challenge_monster_05,炼金,1,560,1.12,5.6,1,1,1,N1临时数据，复制N1独立挑战第1次数值。
n1_challenge_monster_01_wave_02,N1,challenge_monster_01,山岭巨人,2,4200,78.4,1.68,1,1,1,N1临时数据，复制N1独立挑战第2次数值。
n1_challenge_monster_02_wave_02,N1,challenge_monster_02,树人,2,7000,185.92,1.12,1,1,1,N1临时数据，复制N1独立挑战第2次数值。
n1_challenge_monster_03_wave_02,N1,challenge_monster_03,红龙,2,25200,974.4,4.8,1,1,1,N1临时数据，复制N1独立挑战第2次数值。
n1_challenge_monster_04_wave_02,N1,challenge_monster_04,剑圣,2,68800,3128,18,1,1,1,N1临时数据，复制N1独立挑战第2次数值。
n1_challenge_monster_05_wave_02,N1,challenge_monster_05,炼金,2,1120,1.12,11.2,1,1,1,N1临时数据，复制N1独立挑战第2次数值。
n1_challenge_monster_01_wave_03,N1,challenge_monster_01,山岭巨人,3,10080,448,4.48,1,1,1,N1临时数据，复制N1独立挑战第3次数值。
n1_challenge_monster_02_wave_03,N1,challenge_monster_02,树人,3,10640,358.4,5.04,1,1,1,N1临时数据，复制N1独立挑战第3次数值。
